step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
211,CASH_OUT,115126.0,C1378302321,139612.0,24486.0,C1966998418,1197023.37,1312149.37,0
328,CASH_OUT,16713.66,C930342604,0.0,0.0,C692742320,470665.69,487379.34,0
257,PAYMENT,11646.93,C1513271104,38412.58,26765.65,M1206024128,0.0,0.0,0
284,TRANSFER,149633.91,C880630810,0.0,0.0,C592242892,3485580.88,3635214.78,0
354,TRANSFER,481981.35,C1152514406,79973.71,0.0,C695324328,4294978.7,4776960.05,0
371,PAYMENT,7295.45,C324741065,80690.0,73394.55,M1467739023,0.0,0.0,0
21,TRANSFER,737919.31,C1284430274,15838.0,0.0,C1207281702,0.0,737919.31,0
307,PAYMENT,3625.48,C441501626,0.0,0.0,M858237877,0.0,0.0,0
36,PAYMENT,3889.62,C1901090404,0.0,0.0,M1609399799,0.0,0.0,0
191,PAYMENT,2316.79,C733505419,5530.0,3213.21,M684900035,0.0,0.0,0
11,CASH_OUT,80676.83,C1434886745,71093.0,0.0,C382934088,2535402.99,2616079.82,0
131,CASH_IN,48624.09,C1806942266,3588.73,52212.81,C592310798,6006109.42,5957485.34,0
34,CASH_OUT,281318.11,C2093604165,40062.0,0.0,C1115327202,0.0,281318.11,0
471,CASH_IN,31101.31,C1241324243,294415.81,325517.12,C379424941,525777.26,494675.95,0
14,CASH_IN,459737.06,C60117978,2546371.97,3006109.03,C943161411,1294262.51,834525.45,0
180,CASH_OUT,80862.7,C110944689,0.0,0.0,C1439225149,223321.22,304183.92,0
139,CASH_OUT,482276.24,C1059348795,0.0,0.0,C1234645167,987868.26,1470144.5,0
15,CASH_OUT,34947.06,C1515894915,0.0,0.0,C1615714291,154111.26,189058.33,0
16,CASH_IN,382289.76,C1790902177,15635.0,397924.76,C1596966167,0.0,0.0,0
132,CASH_OUT,272146.21,C205960416,0.0,0.0,C973723834,930759.07,1202905.28,0
182,PAYMENT,5280.09,C1562923274,0.0,0.0,M1134758944,0.0,0.0,0
381,CASH_OUT,119061.17,C1375027908,0.0,0.0,C1816946606,343271.1,462332.28,0
186,PAYMENT,4593.44,C186069090,18139.26,13545.82,M984888071,0.0,0.0,0
204,CASH_IN,329496.17,C2068319138,148135.99,477632.17,C1225811605,640113.59,310617.42,0
307,CASH_IN,236372.39,C270332884,7485.0,243857.39,C158986774,780324.14,543951.74,0
326,CASH_IN,213657.93,C2030783318,39744.0,253401.93,C251927084,0.0,0.0,0
168,PAYMENT,3360.28,C206465908,14740.71,11380.43,M1853000266,0.0,0.0,0
263,PAYMENT,3376.13,C656963679,71804.0,68427.87,M1178916412,0.0,0.0,0
191,PAYMENT,16193.08,C1413906449,39853.0,23659.92,M1956848285,0.0,0.0,0
165,CASH_IN,11604.37,C794565897,42.0,11646.37,C687100566,0.0,0.0,0
16,CASH_IN,84102.63,C1892175767,876207.89,960310.53,C288233369,841179.88,757077.24,0
526,PAYMENT,9005.19,C281443429,72063.0,63057.81,M1945603320,0.0,0.0,0
182,CASH_OUT,238677.0,C515793982,0.0,0.0,C2085233148,2072822.89,2311499.89,0
401,PAYMENT,48232.96,C1719758328,27100.41,0.0,M1541492298,0.0,0.0,0
346,PAYMENT,4820.07,C655086459,10937.0,6116.93,M419460530,0.0,0.0,0
283,CASH_OUT,268971.05,C506512836,0.0,0.0,C144168756,533559.06,802530.11,0
183,PAYMENT,4814.78,C23481289,188587.31,183772.54,M1278288876,0.0,0.0,0
301,TRANSFER,1281728.06,C917572538,0.0,0.0,C15979308,1386130.7,2667858.76,0
258,PAYMENT,3774.15,C1898236667,0.0,0.0,M1975146119,0.0,0.0,0
406,PAYMENT,34982.23,C379538602,182.0,0.0,M982787221,0.0,0.0,0
350,PAYMENT,15589.98,C1080597594,0.0,0.0,M502929412,0.0,0.0,0
282,CASH_OUT,290493.99,C1532527778,0.0,0.0,C1102319340,20449034.15,20739528.14,0
165,CASH_IN,225685.37,C1270715196,297399.0,523084.37,C2088366150,166186.87,0.0,0
19,CASH_OUT,310680.36,C1949966919,0.0,0.0,C203453713,334636.41,673416.46,0
400,TRANSFER,241186.6,C32932060,0.0,0.0,C2010927409,857794.97,1098981.57,0
330,CASH_OUT,94651.73,C1319269301,984.0,0.0,C150704347,0.0,94651.73,0
144,CASH_OUT,200204.9,C1095540051,48667.96,0.0,C1935266869,9657444.99,9857649.89,0
306,CASH_OUT,448026.45,C1443428688,10391.0,0.0,C1035997465,0.0,448026.45,0
130,PAYMENT,6263.0,C1089035021,13662.0,7399.0,M212165719,0.0,0.0,0
259,CASH_OUT,194226.65,C1394343175,0.0,0.0,C73391837,672040.33,866266.98,0
586,CASH_OUT,14930.8,C1517160719,0.0,0.0,C1929784492,16645.7,31576.5,0
692,TRANSFER,24958.57,C1307316320,132540.0,107581.43,C923021248,20729.6,45688.17,0
203,CASH_IN,204387.63,C1543391719,7411453.93,7615841.56,C1854463413,2456191.84,2251804.2,0
142,CASH_OUT,133394.28,C1510675879,38771.56,0.0,C839218732,8251102.78,8384497.06,0
14,CASH_OUT,154933.3,C464517062,75202.0,0.0,C1901699139,236.0,509623.96,0
204,PAYMENT,1755.62,C726785686,0.0,0.0,M1466066492,0.0,0.0,0
306,CASH_IN,364072.9,C548678290,13323183.52,13687256.42,C1196968044,765975.56,401902.67,0
36,CASH_OUT,236324.81,C1003407776,472496.0,236171.19,C1377195266,24828.15,261152.96,0
256,CASH_OUT,45507.86,C210747685,50012.0,4504.14,C986955735,1568265.07,1613772.93,0
335,PAYMENT,10525.75,C1708439752,4441.0,0.0,M912374318,0.0,0.0,0
141,PAYMENT,14048.62,C407368763,0.0,0.0,M1809393131,0.0,0.0,0
228,TRANSFER,961582.96,C808345335,20656.0,0.0,C1777643556,0.0,961582.96,0
39,CASH_OUT,112938.68,C1700987897,153022.0,40083.32,C391419793,253582.25,366520.94,0
43,CASH_IN,35746.52,C1518741933,3647026.17,3682772.69,C1957336490,161543.98,125797.45,0
35,PAYMENT,15932.85,C456305920,191502.0,175569.15,M2049001224,0.0,0.0,0
187,CASH_IN,105627.05,C328648249,14584968.24,14690595.28,C1167929979,1828544.83,1722917.78,0
375,CASH_IN,93890.16,C2071496575,19769.33,113659.49,C1330877286,100046.07,6155.91,0
139,CASH_OUT,138664.85,C1551654681,0.0,0.0,C119231505,4393494.59,4532159.44,0
546,CASH_IN,41666.49,C664040343,183004.03,224670.52,C1573639036,1096293.01,1054626.52,0
177,CASH_IN,150696.09,C491741556,304064.0,454760.09,C977303400,345141.77,194445.68,0
169,CASH_IN,121488.61,C1353885430,4988630.73,5110119.34,C472399389,6624784.0,6503295.39,0
159,CASH_OUT,278066.77,C1169597520,0.0,0.0,C172881882,789131.39,1067198.16,0
402,PAYMENT,6436.86,C786420497,1121.0,0.0,M1398085467,0.0,0.0,0
311,PAYMENT,3303.62,C1364594609,29805.0,26501.38,M1148915652,0.0,0.0,0
404,PAYMENT,4422.11,C1619907126,297612.48,293190.37,M2004341017,0.0,0.0,0
182,CASH_OUT,205253.82,C101716290,118685.0,0.0,C172702056,60286.0,0.0,0
371,PAYMENT,15126.69,C1386897739,315224.96,300098.27,M1649875024,0.0,0.0,0
140,CASH_OUT,47983.81,C770838159,0.0,0.0,C1092048919,58756.83,106740.65,0
157,CASH_OUT,74036.62,C485360748,11507.0,0.0,C850231314,0.0,74036.62,0
258,CASH_IN,406719.91,C502206163,20032.0,426751.91,C1667693673,507827.28,101107.37,0
394,CASH_OUT,43371.78,C1859922299,0.0,0.0,C2143106347,167986.61,211358.39,0
156,CASH_IN,145822.49,C1928366656,2472188.11,2618010.6,C463020809,709763.62,1097978.07,0
234,CASH_OUT,315185.06,C1658773947,13305.0,0.0,C785483588,252769.1,567954.16,0
404,PAYMENT,10895.97,C1754330532,16324.84,5428.87,M2031544356,0.0,0.0,0
279,CASH_OUT,301040.78,C1194402168,0.0,0.0,C1738165462,742207.39,1043248.18,0
250,CASH_OUT,12284.82,C103546467,6016.0,0.0,C2104928005,37297.25,49582.07,0
21,PAYMENT,12428.83,C683593435,4814.62,0.0,M1376685720,0.0,0.0,0
163,CASH_IN,162501.52,C845354679,14777.0,177278.52,C518766888,34993.05,0.0,0
355,PAYMENT,1570.23,C1631421047,0.0,0.0,M2015157010,0.0,0.0,0
260,PAYMENT,10216.34,C962969728,28774.0,18557.66,M1573092094,0.0,0.0,0
300,CASH_OUT,126820.07,C280596205,267375.0,140554.93,C2011938138,15327.85,142147.91,0
279,CASH_IN,107462.23,C531540506,1383271.91,1490734.13,C522139508,162743.43,55281.2,0
306,PAYMENT,29409.71,C665454469,0.0,0.0,M1317245253,0.0,0.0,0
544,CASH_IN,239518.78,C1670009800,608.0,240126.78,C1244940749,1009506.78,769988.0,0
239,PAYMENT,3924.8,C1982580544,28735.0,24810.2,M423187618,0.0,0.0,0
325,PAYMENT,9592.62,C1627656029,79886.0,70293.38,M2043296756,0.0,0.0,0
11,PAYMENT,7975.78,C720681297,0.0,0.0,M212972128,0.0,0.0,0
228,PAYMENT,5783.56,C2024700653,114324.0,108540.44,M1237103504,0.0,0.0,0
18,PAYMENT,7633.35,C1501668124,0.0,0.0,M56609424,0.0,0.0,0
155,CASH_IN,89707.89,C407099306,288393.04,378100.93,C1459717487,2532779.77,2443071.88,0
303,CASH_OUT,42424.42,C1576822474,0.0,0.0,C780824767,113148.46,155572.88,0
301,PAYMENT,11391.9,C392801552,354012.0,342620.1,M1203629178,0.0,0.0,0
275,PAYMENT,5028.06,C1401795998,0.0,0.0,M556811207,0.0,0.0,0
370,CASH_OUT,329128.98,C426379301,17861.19,0.0,C1285917082,2489379.07,2818508.05,0
308,DEBIT,972.03,C4798505,23812.0,22839.97,C120918991,84662.3,85634.33,0
177,CASH_OUT,81488.93,C243925266,5851.0,0.0,C852291035,0.0,81488.93,0
253,CASH_OUT,131450.49,C1710026425,176.0,0.0,C573802611,6003539.98,6134990.48,0
300,CASH_OUT,40675.34,C353969542,202643.0,161967.66,C780702198,762277.8,802953.13,0
375,PAYMENT,7750.69,C734541569,0.0,0.0,M293129615,0.0,0.0,0
133,TRANSFER,272711.22,C1463804813,0.0,0.0,C1566604379,2629192.52,2901903.74,0
42,CASH_OUT,229334.81,C1094890128,32689.0,0.0,C1268655089,0.0,229334.81,0
138,PAYMENT,3990.28,C970173780,62827.74,58837.45,M420802779,0.0,0.0,0
328,CASH_OUT,736623.79,C998771380,50050.0,0.0,C1999379165,407384.06,1144007.84,0
16,PAYMENT,14401.9,C978361289,0.0,0.0,M1903906870,0.0,0.0,0
347,CASH_IN,276231.27,C1786061820,9880134.65,10156365.92,C764050406,884831.37,608600.09,0
253,PAYMENT,28027.29,C1581087231,0.0,0.0,M1744187218,0.0,0.0,0
349,CASH_IN,47081.04,C982464274,6903018.57,6950099.6,C1633288582,51429.36,4348.32,0
155,CASH_OUT,308403.73,C461281386,0.0,0.0,C867344810,14584840.62,14849982.51,0
325,CASH_OUT,197959.89,C1775131753,146859.0,0.0,C1260272520,0.0,197959.89,0
156,CASH_IN,78299.61,C1946771090,31509.0,109808.61,C1398038496,77918.21,0.0,0
297,CASH_OUT,273083.75,C2075333770,50181.0,0.0,C1005111591,121558.58,394642.34,0
211,CASH_IN,333211.71,C1459307795,1304161.27,1637372.98,C669987051,3227528.84,2894317.13,0
11,PAYMENT,14322.06,C785126203,0.0,0.0,M1230717203,0.0,0.0,0
307,CASH_IN,224328.66,C132932303,25598878.47,25823207.13,C1803405225,475276.39,250947.73,0
349,PAYMENT,17393.68,C1346630446,5040.0,0.0,M1324919526,0.0,0.0,0
132,PAYMENT,5619.2,C678025728,0.0,0.0,M106222277,0.0,0.0,0
141,CASH_IN,511182.37,C2029281876,3016137.59,3527319.97,C90482972,1346203.37,835021.0,0
299,CASH_IN,320484.41,C482512845,294284.43,614768.85,C3286541,6728324.62,6407840.21,0
302,CASH_OUT,185741.68,C1492856892,0.0,0.0,C1099776910,3531892.09,3717633.77,0
35,CASH_OUT,565451.5,C1037479094,0.0,0.0,C2014775691,2393670.45,2959121.96,0
405,PAYMENT,7011.57,C1850400832,0.0,0.0,M1130965015,0.0,0.0,0
129,PAYMENT,13351.45,C977595321,14195.0,843.55,M128524006,0.0,0.0,0
161,PAYMENT,7186.95,C243078839,383920.42,376733.47,M147758359,0.0,0.0,0
206,CASH_OUT,44042.24,C1845871771,625.0,0.0,C1988617976,76506.0,120548.24,0
311,PAYMENT,14479.98,C224253082,0.0,0.0,M377449628,0.0,0.0,0
250,CASH_IN,395458.82,C740962134,723194.03,1118652.85,C1750241658,5147269.22,4759386.55,0
688,TRANSFER,71724.38,C1068834343,10653.0,0.0,C596056043,302826.8,374551.18,0
330,CASH_OUT,333823.16,C138284712,482.0,0.0,C1698343361,5562420.49,5896243.66,0
402,CASH_IN,216773.75,C175765330,174791.0,391564.75,C1652360687,1534578.41,1317804.66,0
132,CASH_OUT,324677.85,C227276511,0.0,0.0,C1223826572,496987.86,821665.71,0
228,PAYMENT,2385.22,C1044902998,50515.0,48129.78,M1574601323,0.0,0.0,0
469,TRANSFER,14076.25,C2023100291,0.0,0.0,C699573714,1169924.96,1184001.21,0
254,PAYMENT,3766.57,C676136610,24938.0,21171.43,M325111780,0.0,0.0,0
209,CASH_IN,9562.39,C385113570,1281569.35,1291131.74,C1082096924,1530441.11,1520878.72,0
396,CASH_OUT,21381.32,C1737216873,13053.0,0.0,C1029964406,20535.81,41917.13,0
156,CASH_IN,290464.35,C782396768,23129223.78,23419688.13,C53900598,420158.99,129694.64,0
492,CASH_IN,257845.28,C740758096,1753989.19,2011834.47,C1191745542,1250315.94,992470.66,0
228,PAYMENT,6563.3,C726327212,378011.85,371448.55,M521881571,0.0,0.0,0
44,PAYMENT,2367.11,C179256488,5037.0,2669.89,M124543306,0.0,0.0,0
328,CASH_OUT,356573.72,C93025746,0.0,0.0,C567410794,444191.49,800765.21,0
380,PAYMENT,8893.28,C2145937699,20368.0,11474.72,M343292684,0.0,0.0,0
185,CASH_OUT,92955.28,C1808052479,32178.0,0.0,C582282646,439752.59,532707.87,0
14,TRANSFER,500442.23,C1927395575,370.0,0.0,C541893318,264861.82,765304.06,0
281,PAYMENT,27756.5,C755300327,0.0,0.0,M710942568,0.0,0.0,0
16,CASH_IN,377063.72,C1938563419,970859.16,1347922.88,C289543788,1847910.09,1767881.44,0
206,CASH_IN,112272.54,C1592608770,8781091.91,8893364.45,C870916322,236363.36,124090.82,0
307,CASH_OUT,183008.46,C666721135,0.0,0.0,C519600480,1444315.61,1627324.07,0
12,CASH_OUT,144044.87,C467391992,0.0,0.0,C2022950462,2462839.65,2499385.67,0
276,CASH_OUT,23189.83,C800519335,103001.0,79811.17,C2037844795,811526.41,834716.24,0
313,CASH_IN,173731.24,C817725707,2092346.16,2266077.4,C1218586186,760937.83,587206.59,0
258,CASH_IN,78092.43,C268466661,15798.0,93890.43,C326059229,0.0,0.0,0
284,CASH_OUT,206690.64,C835265382,0.0,0.0,C627421335,2715535.9,2922226.54,0
306,TRANSFER,329724.6,C569333043,0.0,0.0,C1783004762,845358.57,1175083.17,0
325,PAYMENT,18720.9,C107962872,0.0,0.0,M1078431285,0.0,0.0,0
347,CASH_OUT,480957.24,C143656201,991.0,0.0,C180039838,3251380.62,3732337.86,0
403,PAYMENT,7107.78,C1818608687,147677.84,140570.06,M1131017917,0.0,0.0,0
155,CASH_OUT,179114.39,C2012989571,259185.0,80070.61,C184277394,3809897.94,3989012.33,0
119,TRANSFER,572243.17,C1877953152,0.0,0.0,C27397338,609815.85,1182059.03,0
129,CASH_OUT,307228.05,C895351821,42269.0,0.0,C208264508,540013.5,847241.56,0
514,TRANSFER,5489131.69,C1264256658,0.0,0.0,C1263379281,11502200.08,16991331.77,0
377,CASH_OUT,156595.4,C539643543,154398.0,0.0,C1836654680,234553.5,391148.9,0
238,CASH_IN,211123.38,C862169117,2340751.37,2551874.75,C1638758324,296528.19,85404.81,0
16,PAYMENT,2346.24,C138221826,0.0,0.0,M1785945879,0.0,0.0,0
256,PAYMENT,23881.76,C1772130656,650.0,0.0,M588238504,0.0,0.0,0
321,PAYMENT,33608.72,C632304533,7710.0,0.0,M2133539429,0.0,0.0,0
396,CASH_OUT,301708.21,C738133694,13168.0,0.0,C1719382353,177447.93,479156.13,0
284,PAYMENT,3593.73,C56731675,689.0,0.0,M1858153631,0.0,0.0,0
280,PAYMENT,10526.42,C399943902,9985.0,0.0,M1045287881,0.0,0.0,0
382,CASH_IN,132733.63,C994035086,642.0,133375.63,C1760697944,42183.66,0.0,0
235,CASH_OUT,173378.96,C2124273232,0.0,0.0,C530493244,722869.25,896248.21,0
157,PAYMENT,16180.39,C883377761,45596.0,29415.61,M902193634,0.0,0.0,0
254,CASH_OUT,37094.78,C1565627697,600792.0,563697.22,C633955559,0.0,37094.78,0
252,PAYMENT,15357.86,C437559129,12617.33,0.0,M1090148112,0.0,0.0,0
157,CASH_IN,227406.26,C2135893383,54616.0,282022.26,C753083329,556686.97,329280.71,0
330,PAYMENT,24396.21,C86113548,0.0,0.0,M297153209,0.0,0.0,0
231,CASH_OUT,299663.85,C851173275,0.0,0.0,C819823478,1364359.48,1664023.34,0
331,PAYMENT,1866.68,C727184383,25718.0,23851.32,M85775032,0.0,0.0,0
211,PAYMENT,8319.55,C868535488,189.0,0.0,M325118123,0.0,0.0,0
190,CASH_OUT,2196.46,C627362174,0.0,0.0,C1822516126,213026.89,215223.35,0
188,PAYMENT,3955.62,C585376751,5266.88,1311.26,M1326149857,0.0,0.0,0
398,CASH_OUT,77208.79,C1618251712,0.0,0.0,C994230643,2058722.42,2135931.21,0
283,CASH_IN,85032.65,C418878360,3680.0,88712.65,C1435526703,586727.28,501694.63,0
212,CASH_IN,98275.65,C1824479689,8242.0,106517.65,C77617218,0.0,0.0,0
594,PAYMENT,12084.26,C1314780907,0.0,0.0,M684979740,0.0,0.0,0
16,CASH_OUT,95470.95,C732740177,19985.0,0.0,C1619427430,812.0,124401.74,0
522,CASH_OUT,63829.59,C1283694756,31209.0,0.0,C540466709,0.0,63829.59,0
45,CASH_OUT,105390.62,C2041653075,1316.0,0.0,C491966258,0.0,105390.62,0
47,PAYMENT,347.62,C2126428067,45402.9,45055.28,M855842493,0.0,0.0,0
300,CASH_OUT,280043.6,C458648711,1500.0,0.0,C1593643140,26894.94,306938.55,0
303,CASH_IN,180417.6,C1805993952,3391296.76,3571714.35,C1092662245,383505.32,203087.72,0
276,CASH_IN,60642.01,C2142753419,1244978.92,1305620.93,C1112107132,414465.5,353823.5,0
332,CASH_IN,94042.83,C710934988,798.0,94840.83,C848035964,90979.75,0.0,0
44,CASH_IN,178464.68,C342760379,623266.13,801730.8,C449160802,1682314.42,1503849.74,0
379,CASH_IN,477931.64,C720123112,25076061.13,25553992.77,C126440046,563058.06,85126.42,0
156,PAYMENT,28339.36,C794874984,0.0,0.0,M61330823,0.0,0.0,0
329,PAYMENT,1744.3,C1838420750,0.0,0.0,M1153638695,0.0,0.0,0
20,CASH_IN,169987.14,C1710820466,6324637.62,6494624.76,C220766773,6368054.45,6198849.71,0
36,CASH_IN,101585.43,C2070285688,5301377.93,5402963.36,C176668740,122080.41,20494.98,0
12,CASH_OUT,121420.58,C2142847992,295106.78,173686.2,C411817066,1588945.58,1710366.17,0
229,PAYMENT,29333.12,C206434333,30632.0,1298.88,M208084069,0.0,0.0,0
259,PAYMENT,2638.18,C728008043,86603.08,83964.9,M1191607099,0.0,0.0,0
356,CASH_OUT,69278.79,C583079537,0.0,0.0,C374707826,1184801.67,1254080.45,0
398,CASH_OUT,95715.03,C1129944797,0.0,0.0,C675655014,262641.05,358356.08,0
278,CASH_OUT,157838.46,C1574031699,0.0,0.0,C2052336563,683277.45,841115.91,0
131,CASH_IN,165698.79,C1196201591,5365694.5,5531393.29,C297423911,214724.0,9097.81,0
26,CASH_OUT,207036.17,C1547901056,0.0,0.0,C1401587166,2298577.87,2505614.05,0
324,PAYMENT,2303.91,C1430396626,210245.19,207941.27,M2068449230,0.0,0.0,0
326,CASH_OUT,108064.86,C820635532,523019.37,414954.5,C933066669,2554900.24,2662965.1,0
280,CASH_IN,137708.37,C47063289,222.0,137930.37,C2136909317,40021.61,0.0,0
256,CASH_IN,122642.62,C370142503,1607557.13,1730199.75,C671050633,288598.54,165955.92,0
206,PAYMENT,1412.64,C1636941726,233391.16,231978.52,M1258595943,0.0,0.0,0
255,CASH_OUT,479092.76,C620833886,13740.0,0.0,C813255163,136457.29,615550.06,0
182,CASH_OUT,137993.63,C1411263131,0.0,0.0,C104243193,3210385.91,3348379.55,0
165,PAYMENT,12524.72,C1415915713,45739.0,33214.28,M2069880714,0.0,0.0,0
209,CASH_OUT,210077.24,C1721413985,0.0,0.0,C189702681,3726183.94,3936261.18,0
